event_id,country_id,event_date,event_type,severity,title,description,source_url
FRA-E07,FRA,2021/9/1,制度開始,High,FranceConnect+ introduced,French government set up FranceConnect+ in 2021 for sensitive procedures requiring stronger authentication.,https://www.numerique.gouv.fr/sinformer/espace-presse/franceconnect-1-million-dusagers-accedant-a-des-demarches-en-ligne-sensibles-de-maniere-simple-et-securisee/
FRA-E08,FRA,2022/3/1,拡張,Medium,FranceConnect reaches 30M+ users,"FranceConnect exceeded 30 million users five years after launch, accelerating adoption.",https://labo.societenumerique.gouv.fr/en/articles/franceconnect-counts-30-million-users/
FRA-E09,FRA,2023/7/6,拡張,Low,FranceConnect+ reaches 1 million users,FranceConnect+ reached one million users for sensitive online procedures.,https://www.numerique.gouv.fr/sinformer/espace-presse/franceconnect-1-million-dusagers-accedant-a-des-demarches-en-ligne-sensibles-de-maniere-simple-et-securisee/
FRA-E01,FRA,2024/2/13,制度開始,High,France Identit? generalized,France Identit? opened to all and introduced digital driving license,https://www.interieur.gouv.fr/actualites/communiques-de-presse/generalisation-de-lapplication-france-identite-et-lancement-du
FRA-E10,FRA,2024/7/12,拡張,Medium,FranceConnect+ integrates France Identité,"FranceConnect+ integrated France Identité as a certified identity provider, expanding options beyond La Poste.",https://www.interieur.gouv.fr/actualites/communiques-de-presse/franceconnect-integre-france-identite-pour-offrir-plus-de-choix-et
GBR-E05,GBR,2014/2/11,パイロット,Medium,Identity Assurance beta with HMRC,GDS moved Identity Assurance project into beta with HMRC users in February 2014.,https://gds.blog.gov.uk/story-2014/
GBR-E06,GBR,2014/10/1,パイロット,Medium,Verify public trials began,NAO reported public trials of Verify began in October 2014 with a small number of services.,https://www.nao.org.uk/wp-content/uploads/2019/03/Investigation-into-verify-Summary.pdf
GBR-E01,GBR,2016/5/24,制度開始,High,GOV.UK Verify went live,GOV.UK Verify identity assurance system went live on 24 May 2016,https://en.wikipedia.org/wiki/GOV.UK_Verify
GBR-E07,GBR,2019/3/5,発表,Medium,NAO investigation into Verify published,National Audit Office published investigation noting Verify performance issues and funding plans.,https://www.nao.org.uk/wp-content/uploads/2019/03/Investigation-into-verify-Summary.pdf
GBR-E02,GBR,2022/6/13,発表,Medium,Digital Identity and Attributes Trust Framework (beta) published,Government published beta version of UK digital identity and attributes trust framework on 13 June 2022,https://www.gov.uk/government/publications/uk-digital-identity-and-attributes-trust-framework-beta-version
GBR-E03,GBR,2023/3/30,制度終了,High,Final government service stopped using GOV.UK Verify,"As planned, GOV.UK Verify closed; the final government service stopped using the platform on 30 March 2023.",https://questions-statements.parliament.uk/written-statements/detail/2023-05-02/hlws742
GBR-E08,GBR,2023/7/6,制度開始,High,GOV.UK One Login scaled to 1.5M verified users,UK press release noted GOV.UK One Login had over 1.5 million users who proved identity to access services.,https://www.gov.uk/government/news/15-million-people-already-benefiting-from-reform-of-government-services-online
GBR-E09,GBR,2024/10/1,拡張,Medium,GOV.UK One Login reaches 50 services (Oct 2024),GDS reported 50 services using GOV.UK One Login as of October 2024.,https://gds.blog.gov.uk/2024/11/12/gov-uk-one-login-celebrating-50-services/
GBR-E04,GBR,2024/11/12,発表,Low,GOV.UK One Login reaches 50 services,GDS reported that 50 services were using GOV.UK One Login as of Oct 2024,https://gds.blog.gov.uk/2024/11/12/gov-uk-one-login-celebrating-50-services/
GBR-E10,GBR,2024/11/12,発表,Low,GDS blog announces One Login milestone,Government Digital Service published blog post celebrating 50 services milestone.,https://gds.blog.gov.uk/2024/11/12/gov-uk-one-login-celebrating-50-services/
GBR-E11,GBR,2025/10/1,制度開始,Medium,Digital Veteran Card launched in GOV.UK One Login app (wallet credential),GDS launched the digital HM Armed Forces Veteran Card as a credential in the GOV.UK One Login app (GOV.UK Wallet roadmap milestone).,https://roadmap-for-modern-digital-government.campaign.gov.uk/join-up-services/govuk-wallet/
GBR-E12,GBR,2025/12/1,実証,Medium,Digital driving licence tested (limited trial) in GOV.UK One Login app,GDS began testing digital driving licences through a limited/private trial with DVLA colleagues (wallet development milestone).,https://gds.blog.gov.uk/2026/01/21/making-the-governments-first-digital-wallet-a-reality/
IND-E04,IND,2009/1/28,制度開始,High,UIDAI created as attached office,UIDAI functioned as attached office of Planning Commission via Gazette notification dated 28 Jan 2009.,https://uidai.gov.in/en/about-uidai/unique-identification-authority-of-india.html
IND-E01,IND,2010/9/29,制度開始,High,First Aadhaar number issued (national launch),First Aadhaar number issued on 29 Sep 2010 at national launch of Aadhaar project,https://www.uidai.gov.in/images/pressrelease/pressnotefinal.doc
IND-E05,IND,2013/8/19,制度開始,High,Aadhaar e-KYC service announced,Press Information Bureau described UIDAI e-KYC service enabling paperless KYC for financial and other services.,https://pib.gov.in/newsite/PrintRelease.aspx?relid=98368
IND-E02,IND,2015/2/10,パイロット,Medium,DigiLocker beta rolled out,Beta version of Digital Locker System released on 10 Feb 2015 under Digital India.,https://www.mygov.in/group-issue/beta-release-digital-locker-system
IND-E03,IND,2015/7/1,制度開始,High,DigiLocker launched,DigiLocker launched on 1 July 2015 under the Digital India programme.,https://negd.gov.in/blog/digilocker-the-digital-briefcase-for-indias-authentic-e-documents/
IND-E06,IND,2015/7/1,制度開始,High,eSign online electronic signature service started,Controller of Certifying Authorities noted eSign online electronic service started in July 2015.,https://nild.nic.in/organization/controller-of-certifying-authorities-cca/
IND-E07,IND,2016/3/25,法制定,High,Aadhaar Act enacted,"Aadhaar (Targeted Delivery...) Act, 2016 enacted on 25 March 2016.",https://uidai.gov.in/images/Aadhaar_Act_2016_as_amended.pdf
IND-E08,IND,2016/9/12,施行,Medium,Aadhaar (Authentication) Regulations notified,"Aadhaar (Authentication) Regulations, 2016 came into force on publication in Official Gazette.",https://aadhaar.jharkhand.gov.in/resources/Aadhaar_Authentication_Regulation2016.pdf
IND-E09,IND,2016/9/12,施行,Medium,Aadhaar (Data Security) Regulations notified,"Aadhaar Data Security Regulations, 2016 published in Gazette and came into force upon publication.",https://uidai.gov.in/images/The_Aadhaar_Data_Security_Regulations_2016.pdf
IND-E10,IND,2018/1/10,拡張,High,Virtual ID and Limited KYC introduced,"UIDAI circular introduced Virtual ID, UID token and limited KYC to enhance privacy.",https://www.uidai.gov.in/images/46Circular_for_Implementation_of_Virtual_ID_UID_Token_and_Limited_KYC_0001_compressed.pdf
IND-E11,IND,2018/6/1,施行,Medium,Virtual ID acceptance mandated for agencies,UIDAI circular indicated agencies must migrate to accept Virtual ID and limited KYC by June 2018.,https://www.uidai.gov.in/images/46Circular_for_Implementation_of_Virtual_ID_UID_Token_and_Limited_KYC_0001_compressed.pdf
IND-E12,IND,2018/9/26,発表,High,Supreme Court Aadhaar judgment delivered,Supreme Court delivered judgment on Aadhaar constitutionality on 26 Sep 2018.,https://uidai.gov.in/images/news/Judgement_26-Sep-2018.pdf
IND-E13,IND,2023/8/11,法制定,High,Digital Personal Data Protection Act assented,"DPDP Act, 2023 received presidential assent on 11 Aug 2023.",https://www.indiacode.nic.in/bitstream/123456789/22037/1/a2023-22.pdf
IND-E14,IND,2025/1/3,発表,Medium,Draft DPDP Rules 2025 published for consultation,"MeitY invited comments on draft Digital Personal Data Protection Rules, 2025 from 3 Jan 2025.",https://innovateindia.mygov.in/dpdp-rules-2025/
IND-E15,IND,2025/11/13,施行,Medium,DPDP Act provisions commence (phase 1),Certain provisions of DPDP Act commenced on 13 Nov 2025 per commencement notifications.,"https://en.wikipedia.org/wiki/Digital_Personal_Data_Protection_Act,_2023"
JPN-E01,JPN,2002/8/5,制度開始,High,住基ネット（住民基本台帳ネットワーク）の一次稼働開始,2002年8月5日、住民票コードの通知開始等を含む住基ネットの一次稼働が開始。,https://www.soumu.go.jp/main_sosiki/jichi_gyousei/c-gyousei/daityo/old/juki_yotei.html
JPN-E11,JPN,2008/3/6,発表,High,住基ネット最高裁判決（合憲判断）,2008年3月6日、住基ネットによる本人確認情報の管理・利用等が憲法13条の保障するプライバシー権を侵害しない旨の最高裁判断が示された。,https://www.soumu.go.jp/main_sosiki/jichi_gyousei/c-gyousei/daityo/05_judgment.html
JPN-E05,JPN,2013/5/31,法制定,High,マイナンバー法（番号法）の公布,「行政手続における特定の個人を識別するための番号の利用等に関する法律（平成25年法律第27号）」が公布。,https://elaws.jp/view/425AC0000000027
JPN-E06,JPN,2015/10/5,制度開始,High,マイナンバーの付番・通知開始,2015年10月5日時点で住民票に記載されている住民にマイナンバーが指定され、市区町村から通知カードで郵送通知が開始。,https://www.digital.go.jp/policies/mynumber_faq_02
JPN-E02,JPN,2016/1/1,制度開始,High,マイナンバー制度の導入（利用開始）,2016年1月1日からマイナンバー制度が導入され、税・社会保障等の手続で利用が開始。,https://www.nta.go.jp/taxes/tetsuzuki/mynumberinfo/gaiyo.htm
JPN-E07,JPN,2017/11/1,制度開始,Medium,マイナポータルの提供開始（本格運用）,マイナンバー制度に連動する個人向けポータルサイト「マイナポータル」が2017年11月から提供開始（情報連携の本格運用等と併せて開始）。,https://www.soumu.go.jp/menu_news/s-news/01kanbo07_02000001.html
JPN-E08,JPN,2020/5/25,終了,Medium,通知カードの廃止,マイナンバーを通知する「通知カード」は2020年5月25日に廃止され、新規発行・再交付・記載事項変更ができなくなった。,https://www.soumu.go.jp/main_content/000687760.pdf
JPN-E10,JPN,2021/3/1,制度開始,High,マイナンバーカードの健康保険証利用（マイナ保険証）,マイナンバーカードを健康保険証として利用する仕組み（マイナ保険証）。利用可能な医療機関・薬局は対応状況により異なる。,https://www.mhlw.go.jp/stf/newpage_08277.html
JPN-E09,JPN,2021/10/1,拡張,Medium,マイナポータルで薬剤情報・特定健診情報等の閲覧機能を追加,マイナポータルで薬剤情報、特定健診情報、後期高齢者健診情報等を確認・取得できる機能が追加（令和3年10月リリース）。,https://www.digital.go.jp/assets/contents/node/basic_page/field_ref_resources/494e7749-cb53-4bdd-aeeb-49c26d5edbf5/20211126_myna_portal_02.pdf
JPN-E03,JPN,2025/3/24,施行,High,マイナ免許証の運用開始,マイナンバーカードのICチップに運転免許情報を記録し、マイナンバーカードを運転免許証として利用できる「マイナ免許証」の運用が開始。,https://www.digital.go.jp/policies/mynumber/drivers-license
JPN-E04,JPN,2026/1/23,制度開始,Medium,スマートフォンのマイナンバーカード（機能の拡充）,マイナンバーカードの機能をスマートフォン（iPhone、Android端末）に追加して利用できる「スマートフォンのマイナンバーカード」を案内（使える場所やサービスは順次拡大）。,https://www.digital.go.jp/policies/mynumber/smartphone-certification
KOR-E03,KOR,2020/6/24,制度開始,Medium,Mobile driver license verification,PASS app enabled driver license verification via smartphone,https://www.korea.net/NewsFocus/Sci-Tech/view?articleId=186990
KOR-E04,KOR,2020/6/24,制度開始,Medium,Mobile driver’s license verification via PASS,Korean National Police Agency and carriers launched PASS verification for driver’s license (smartphone ID),https://www.korea.net/NewsFocus/Sci-Tech/view?articleId=186990
KOR-E07,KOR,2022/1/27,パイロット,Medium,Mobile driver’s license pilot launched,"MOIS and National Police launched six-month pilot issuance of mobile driver’s licenses on Jan 27, 2022.",https://www.korea.net/NewsFocus/policies/view?articleId=210038
KOR-E02,KOR,2022/2/17,制度開始,High,EU adequacy decision for Republic of Korea,EU implementing decision recognising adequacy of PIPA for transfers from EU,https://eur-lex.europa.eu/eli/dec_impl/2022/254/oj/eng
KOR-E08,KOR,2022/7/28,制度開始,High,Mobile driver’s license nationwide rollout,"Mobile driver’s licenses introduced nationwide starting July 28, 2022 following pilot.",https://www.loc.gov/item/global-legal-monitor/2024-08-29/south-korea-road-traffic-act-amended-to-address-mobile-drivers-licenses
KOR-E09,KOR,2024/1/30,法改正,Medium,Road Traffic Act amended for mobile driver’s licenses,Road Traffic Act amended (Act No.20155) to provide legal basis for mobile driver’s licenses.,https://www.loc.gov/item/global-legal-monitor/2024-08-29/south-korea-road-traffic-act-amended-to-address-mobile-drivers-licenses
KOR-E10,KOR,2024/10/25,施行,Medium,Mobile driver’s license legal basis becomes effective,"Amendment providing legal basis for mobile driver’s licenses effective Oct 25, 2024.",https://www.loc.gov/item/global-legal-monitor/2024-08-29/south-korea-road-traffic-act-amended-to-address-mobile-drivers-licenses
KOR-E05,KOR,2024/12/27,パイロット,Medium,Mobile Resident Registration Card pilot begins,"Pilot issuance for mobile resident registration cards began on Dec 27, 2024",https://www.incheon.go.kr/en/EN020401/3000612
KOR-E06,KOR,2025/3/19,発表,Medium,Nationwide Mobile Resident Registration Card announced,"Government announced mobile resident registration card available nationwide with rollout starting Mar 28, 2025",https://www.korea.net/Government/Briefing-Room/Press-Releases/view?articleId=7911&type=O&insttCode=A110409
KOR-E01,KOR,2025/3/28,制度開始,High,Mobile Resident Registration Card nationwide,Mobile resident registration card available nationwide,https://www.mois.go.kr/eng/bbs/type001/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000019&nttId=116395
NZL-E05,NZL,2013/5/23,発表,Medium,Budget funding boost for iGovt/RealMe announced,Beehive release announced funding boost and noted RealMe would launch soon based on iGovt services.,https://www.beehive.govt.nz/release/budget-2013-145m-boost-online-identity-verification
NZL-E01,NZL,2013/7/2,制度開始,High,RealMe verified rollout begins,DIA announced rollout of RealMe verified accounts starting 2 July 2013,https://www.beehive.govt.nz/release/realme-makes-it-easy-get-services-online
NZL-E02,NZL,2013/7/2,制度開始,Medium,RealMe login and verified identity launched,DIA launched RealMe login and RealMe verified identity in 2013 as digital identity services,https://www.digitalidentity.dia.govt.nz/about
NZL-E06,NZL,2018/8/14,制度開始,Medium,RealMe Now mobile onboarding app launched,DIA launched RealMe Now mobile app enabling remote identity verification via selfie and passport photo match.,https://www.businesswire.com/news/home/20180814005593/en/New-Zealand-Government-Launches-RealMe-App-Daon%E2%80%99s
NZL-E07,NZL,2022/9/20,パイロット,Medium,Identity Check pilot with Hospitality NZ announced,DIA partnered with Hospitality NZ to pilot Identity Check online identity verification service.,https://www.dia.govt.nz/press.nsf/d77da9b523f12931cc256ac5000d19b6/058d4ac6a88ff80ccc2588c30076254a
NZL-E08,NZL,2022/11/22,発表,Low,Nationwide Identity Check pilot reported,Media reported nationwide pilot testing of Identity Check service.,https://www.rnz.co.nz/news/national/479227/identity-check-online-system-pilot-launched-despite-gaps-over-privacy-rights
